guten_bid,guten_bname,guten_blan,guten_aid,guten_aname,guten_aalias,good_isbn,good_series,good_lan,good_author_id,good_bid,good_workid,good_title,good_title_without_series,good_aname,good_original_title,good_title_list,guten_bname_list,new_match_good,new_match_guten
11641,Over There: War Scenes on the Western Front,en,759,"Bennett, Arnold","['Bennett, E. Arnold', 'Bennett, Enoch Arnold']",1172152055,[],,3314,10059988,6521518,Over There; War Scenes on the Western Front,Over There; War Scenes on the Western Front,Arnold Bennett,Over There,"['war', 'scenes', 'western', 'front']","['war', 'scenes', 'western', 'front']",[10059988],[11641]
11643,John Caldigate,en,155,"Trollope, Anthony",[],0140438416,[],,20524,3157588,36278,John Caldigate,John Caldigate,Anthony Trollope,John Caldigate,"['john', 'caldigate']","['john', 'caldigate']","[3157588, 36373]",[11643]
11654,Confessions of a Young Man,en,871,"Moore, George Augustus","['Rhone, Lady', 'Moore, George Augustus']",1406545821,[],,5348195,2504418,2511785,Confessions of a Young Man,Confessions of a Young Man,George Moore,Confessions of a Young Man,"['confessions', 'young', 'man']","['confessions', 'young', 'man']",[2504418],"[12278, 11654]"
11673,Stickeen,en,628,"Muir, John",[],0930588053,[],eng,5297,2650331,1149548,Stickeen,Stickeen,John Muir,Stickeen,['stickeen'],['stickeen'],"[32016709, 3257670, 1161926, 14062486, 2650331]",[11673]
11682,The Soul of the War,en,3086,"Gibbs, Philip","['Gibbs, Philip Hamilton, Sir', 'Gibbs, Phillip']",,[],,79712,19382538,19969116,The Soul of the War,The Soul of the War,Philip Gibbs,,"['soul', 'war']","['soul', 'war']",[19382538],[11682]
11688,History of Julius Caesar,en,157,"Abbott, Jacob","['Marianne', 'Erodore']",,['271086'],,125951,6581746,207939,History of Julius Caesar,History of Julius Caesar,Jacob Abbott,History of Julius Caesar,"['history', 'julius', 'caesar']","['history', 'julius', 'caesar']",[6581746],[11688]
11689,Are Women People? A Book of Rhymes for Suffrage Times,en,673,"Miller, Alice Duer","['Duer, Alice']",1444688294,[],,232611,10965299,400018,Are Women People? - A Book of Rhymes for Suffrage Times,Are Women People? - A Book of Rhymes for Suffrage Times,Alice Duer Miller,Are Women People? A Book Of Rhymes For Suffrage Times,"['women', 'people?', 'book', 'rhymes', 'suffrage', 'times']","['women', 'people?', 'book', 'rhymes', 'suffrage', 'times']","[410739, 10965299, 20642461]",[11689]
11693,"The World's Great Sermons, Volume 08: Talmage to Knox Little",en,574,"Kleiser, Grenville",[],,[],,86425,18883072,13027195,"The world's great sermons, Volume 08 Talmage to Knox Little","The world's great sermons, Volume 08 Talmage to Knox Little",Grenville Kleiser,,"['world', 'great', 'sermons', 'volume', 'eight', 'talmage', 'knox', 'little']","['world', 'great', 'sermons', 'volume', 'eight', 'talmage', 'knox', 'little']",[18883072],[11693]
11698,The Three Brontës,en,3987,"Sinclair, May","['Sinclair, Mary Amelia St. Clair']",1410210731,[],,2380330,7226425,41588875,The Three Brontës,The Three Brontës,May Sinclair,The three Brontees,"['three', 'brontës']","['three', 'brontës']",[7226425],[11698]
11699,"J. S. Le Fanu's Ghostly Tales, Volume 1",en,4224,"Le Fanu, Joseph Sheridan","['Fanu, Joseph Sheridan Le', 'Fanu, J. Sheridan Le', 'LeFanu, J. S. (Joseph Sheridan)']",,[],,26930,6346213,6532609,J. S. Le Fanu's Ghostly Tales V1,J. S. Le Fanu's Ghostly Tales V1,J. Sheridan Le Fanu,"J. S. Le Fanu's Ghostly Tales, Volume 1","['j', 'le', 'fanu', 'ghostly', 'tales', 'v1']","['j', 'le', 'fanu', 'ghostly', 'tales', 'volume', 'one']","[18880186, 6346213, 12515086]",[11699]
11703,The Swiss Family Robinson; or Adventures in a Desert Island,en,2795,"Wyss, Johann David","['Wyss, J. D. (Johann David)']",,[],,2897630,18815097,2441994,The Swiss Family Robinson; or Adventures in a Desert Island,The Swiss Family Robinson; or Adventures in a Desert Island,Johann David Wyss,Der Schweizerische Robinson,"['swiss', 'family', 'robinson', 'adventure', 'desert', 'island']","['swiss', 'family', 'robinson', 'adventure', 'desert', 'island']",[18815097],"[34808, 11703]"
11709,"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Arkansas Narratives, Part 6",en,993,United States. Work Projects Administration,"['Administration, Work Projects']",,[],,235639,19241923,27287562,"Slave Narratives: a Folk History of Slavery in the United States From Interviews with Former Slaves Arkansas Narratives, Part 6","Slave Narratives: a Folk History of Slavery in the United States From Interviews with Former Slaves Arkansas Narratives, Part 6",Work Projects Administration,,"['slave', 'narratives', 'folk', 'history', 'slavery', 'united', 'states', 'interviews', 'former', 'slaves', 'arkansas', 'narratives', 'part', 'six']","['slave', 'narratives', 'folk', 'history', 'slavery', 'united', 'states', 'interviews', 'former', 'slaves', 'arkansas', 'narratives', 'part', 'six']",[19241923],[11709]
11715,The Eyes of the World,en,6519,"Wright, Harold Bell",[],1426455887,[],eng,135841,232152,224852,The Eyes of the World,The Eyes of the World,Harold Bell Wright,The Eyes of the World,"['eyes', 'world']","['eyes', 'world']","[232152, 19906889]",[11715]
11720,Fenton's Quest,en,113,"Braddon, M. E. (Mary Elizabeth)","['Breddon, Miss', 'White, Babington', 'Braddon, Mary Elizabeth', 'Maxwell, Mary Elizabeth Braddon']",1409902056,[],,45896,7244852,1325491,Fenton's Quest,Fenton's Quest,Mary Elizabeth Braddon,Fenton's Quest,"['fenton', 'quest']","['fenton', 'quest']",[7244852],[11720]
11730,With the Allies,en,289,"Davis, Richard Harding",[],1406511730,[],,121294,3141406,3172853,With the Allies,With the Allies,Richard Harding Davis,With the Allies,['allies'],['allies'],[3141406],[11730]
11733,A Mere Accident,en,871,"Moore, George Augustus","['Rhone, Lady', 'Moore, George Augustus']",8132054970,[],,5348195,15111815,20766804,A Mere Accident,A Mere Accident,George Moore,,"['mere', 'accident']","['mere', 'accident']",[15111815],[11733]
11737,Barks and Purrs,en,5075,Colette,"['Colette, Sidonie Gabrielle', 'Gauthier-Villars, Henry, Mme', 'Willy, Colette', 'Jouvenel, Gabrielle Claudine Colette de']",1421932334,[],,51575,14334273,1223363,Barks and Purrs,Barks and Purrs,Colette,Dialogues de betes,"['barks', 'purrs']","['barks', 'purrs']","[6330290, 14334273, 18522186]",[11737]
11746,Through the Brazilian Wilderness,en,346,"Roosevelt, Theodore","['United States President (1901-1909)', 'Roosevelt, Teddy']",1595478531,[],,44567,2018639,559270,Through the Brazilian Wilderness,Through the Brazilian Wilderness,Theodore Roosevelt,Through the Brazilian Wilderness,"['brazilian', 'wilderness']","['brazilian', 'wilderness']","[11019226, 572242, 2018639]",[11746]
11757,The Velveteen Rabbit,en,19543,"Bianco, Margery Williams","['Williams, Margery']",0824955307,[],,83846,144994,1602074,The Velveteen Rabbit 8X8,The Velveteen Rabbit 8X8,Margery Williams Bianco,The Velveteen Rabbit,"['velveteen', 'rabbit', '8x8']","['velveteen', 'rabbit']","[2177671, 540680, 8461324, 480654, 18709394, 12089620, 17910556, 3120288, 232096, 981926, 1349956, 10165831, 6283978, 144974, 18799823, 144975, 144976, 10483412, 144980, 144982, 1522004, 18930396, 3931612, 144989, 23699937, 144994, 10303329, 144993, 144996, 7787365, 5550184, 9253227, 1475055, 25902449, 13548019, 12773750, 7690105, 13134074, 20651387]","[23980, 11757, 26286]"
11758,Baldy of Nome,en,13485,"Darling, Esther Birdsall",[],1409904156,[],,464034,7512070,1652357,Baldy of Nome,Baldy of Nome,Esther Birdsall Darling,Baldy of Nome,"['baldy', 'nome']","['baldy', 'nome']",[7512070],[11758]
11866,"The Life and Most Surprising Adventures of Robinson Crusoe, of York, Mariner (1801)",en,552,"Defoe, Daniel","['Defo, Daniel', 'Moreton, Andrew', 'John, Gabriel']",1770451412,['856636'],,2007,9582404,604666,"The Life And Most Surprising Adventures Of Robinson Crusoe, Of York, Mariner (1801)","The Life And Most Surprising Adventures Of Robinson Crusoe, Of York, Mariner (1801)",Daniel Defoe,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner","['life', 'surprising', 'adventure', 'robinson', 'crusoe', 'york', 'mariner', 'one thousand, eight hundred and one']","['life', 'surprising', 'adventure', 'robinson', 'crusoe', 'york', 'mariner', 'one thousand, eight hundred and one']",[9582404],[11866]
11867,The Alaskan,en,723,"Curwood, James Oliver",[],,[],eng,66979,25264732,1060250,The Alaskan,The Alaskan,James Oliver Curwood,The Alaskan,['alaskan'],['alaskan'],"[13322008, 1073555, 25264732]",[11867]
11876,The Three Sisters,en,3987,"Sinclair, May","['Sinclair, Mary Amelia St. Clair']",0860682439,[],eng,2380330,2455799,2462994,The Three Sisters,The Three Sisters,May Sinclair,The Three Sisters,"['three', 'sisters']","['three', 'sisters']",[2455799],[11876]
11880,Ronicky Doone,en,2319,"Brand, Max","['Faust, Frederick Schiller', 'Frederick, John']",0843937386,[],,21609,4218781,987524,Ronicky Doone,Ronicky Doone,Max Brand,Ronicky Doone,"['ronicky', 'doone']","['ronicky', 'doone']",[4218781],[11880]
11882,"Colonel Quaritch, V.C.: A Tale of Country Life",en,86,"Haggard, H. Rider (Henry Rider)","['Haggard, Rider', 'Haggard, Henry Rider']",,[],,4633123,35558881,56985373,"Colonel Quaritch, V.C.: A Tale of Country Life","Colonel Quaritch, V.C.: A Tale of Country Life",H. Rider Haggard,,"['colonel', 'quaritch', 'v', 'c', 'tale', 'country', 'life']","['colonel', 'quaritch', 'v', 'c', 'tale', 'country', 'life']",[35558881],[11882]
11883,Entertaining Made Easy,en,19118,"Burt, Emily Rose",[],,[],,2955169,19186800,27438422,Entertaining Made Easy,Entertaining Made Easy,Emily Rose Burt,,"['entertaining', 'made', 'easy']","['entertaining', 'made', 'easy']","[19186800, 26426212]",[11883]
11897,On the Indian Sect of the Jainas,en,13245,"Bühler, Georg","['Bühler, G. (Georg)', 'Buhler, Georg', 'Bühler, Johann Georg']",1406742236,[],,3314953,11241140,9875460,On the Indian Sect of the Jainas,On the Indian Sect of the Jainas,Georg Buhler,,"['indian', 'sect', 'jainas']","['indian', 'sect', 'jainas']",[11241140],[11897]
11900,Elizabeth Visits America,en,2845,"Glyn, Elinor","['Glyn, Elinor Sutherland']",,['589991'],eng,249153,6570305,6763363,Elizabeth Visits America,Elizabeth Visits America,Elinor Glyn,Elizabeth Visits America,"['elizabeth', 'visits', 'america']","['elizabeth', 'visits', 'america']",[6570305],[11900]
11901,Tommy and Grizel,en,3665,"Barrie, J. M. (James Matthew)","['Barrie, James Matthew', 'Barrie, J.M.']",1417903708,[],,5255014,1902929,1904635,Tommy and Grizel,Tommy and Grizel,J.M. Barrie,Tommy and Grizel,"['tommy', 'grizel']","['tommy', 'grizel']",[1902929],[11901]
11909,"Bob the Castaway; Or, The Wreck of the Eagle",en,4112,"Webster, Frank V.",[],,[],,843053,9212482,14092243,Bob the Castaway or the Wreck of the Eagle,Bob the Castaway or the Wreck of the Eagle,Frank V. Webster,"Bob the Castaway; Or, the Wreck of the Eagle","['bob', 'castaway', 'wreck', 'eagle']","['bob', 'castaway', 'wreck', 'eagle']",[9212482],[11909]
11913,Mr. Meeson's Will,en,86,"Haggard, H. Rider (Henry Rider)","['Haggard, Rider', 'Haggard, Henry Rider']",1600961584,[],eng,4633123,2351294,2716004,Mr. Meeson's Will,Mr. Meeson's Will,H. Rider Haggard,Mr. Meeson's Will,"['mr', 'meeson']","['mr', 'meeson']",[2351294],[11913]
11917,The Story of Ireland,en,7611,"Lawless, Emily",[],142193373X,[],,173468,1729015,1726474,The Story of Ireland,The Story of Ireland,Emily Lawless,The Story of Ireland,"['story', 'ireland']","['story', 'ireland']",[1729015],[11917]
11918,The Castle Inn,en,163,"Weyman, Stanley John","['Weyman, Stanley J. (Stanley John)']",,[],eng,479020,11306724,926567,The Castle Inn,The Castle Inn,Stanley J. Weyman,The Castle Inn,"['castle', 'inn']","['castle', 'inn']",[11306724],[11918]
11935,Mysticism in English Literature,en,25223,"Spurgeon, Caroline F. E. (Caroline Frances Eleanor)","['Spurgeon, C. F. E. (Caroline Frances Eleanor)']",1107401712,[],,393936,13831813,27188062,Mysticism in English Literature,Mysticism in English Literature,Caroline Frances Eleanor Spurgeon,,"['mysticism', 'english', 'literature']","['mysticism', 'english', 'literature']","[13831813, 19151494]",[11935]
11936,The Wise Mamma Goose,en,5724,"Herr, Charlotte B. (Charlotte Bronte)","['Herr, Charlotte Bronte']",,[],,4664265,10209924,13519832,The Wise Mamma Goose,The Wise Mamma Goose,Charlotte Herr,,"['wise', 'mamma', 'goose']","['wise', 'mamma', 'goose']",[10209924],[11936]
11938,Folklore of the Santal Parganas,en,12168,"Bompas, Cecil Henry","['Bompas, C. H. (Cecil Henry)']",,[],,1150860,4978929,13418663,Folklore Of The Santal Parganas,Folklore Of The Santal Parganas,Cecil Henry Bompas,,"['folklore', 'santal', 'parganas']","['folklore', 'santal', 'parganas']",[4978929],[11938]
11941,"The Winning of the West, Volume 1
From the Alleghanies to the Mississippi, 1769-1776",en,346,"Roosevelt, Theodore","['United States President (1901-1909)', 'Roosevelt, Teddy']",0803289545,[],,44567,954412,1351546,"The Winning of the West, Volume 1: From the Alleghanies to the Mississippi, 1769-1776","The Winning of the West, Volume 1: From the Alleghanies to the Mississippi, 1769-1776",Theodore Roosevelt,"The Winning of the West, Volume One: From the Alleghanies to the Mississippi, 1769-1776","['winning', 'west', 'volume', 'one', 'alleghanies', 'mississippi', 'one thousand, seven hundred and sixty-nine', 'one thousand, seven hundred and seventy-six']","['winning', 'west', 'volume', 'one', 'alleghanies', 'mississippi', 'one thousand, seven hundred and sixty-nine', 'one thousand, seven hundred and seventy-six']",[954412],[11941]
11945,Essays of Schopenhauer,en,1619,"Schopenhauer, Arthur",[],1406596183,[],eng,11682,5976571,3223139,Essays of Schopenhauer,Essays of Schopenhauer,Arthur Schopenhauer,Essays of Schopenhauer,"['essays', 'schopenhauer']","['essays', 'schopenhauer']",[5976571],[11945]
11965,Sex and Common-Sense,en,17412,"Royden, A. Maude (Agnes Maude)","['Royden, Agnes Maude', 'Royden, Maude']",,[],,3351680,18971632,13378508,Sex and Common-Sense,Sex and Common-Sense,Agnes Maude Royden,,"['sex', 'common', 'sense']","['sex', 'common', 'sense']",[18971632],[11965]
11970,Wife in Name Only,en,3927,"Brame, Charlotte M.","['Brame, Charlotte Mary', 'Clay, Bertha M.', 'Braeme, Charlotte Monica']",140990668X,[],,2830003,8843595,13718471,Wife in Name Only,Wife in Name Only,Charlotte M. Brame,,"['wife', 'name']","['wife', 'name']","[8843595, 18847723]",[11970]
11981,"The World's Great Sermons, Volume 01: Basil to Calvin",en,574,"Kleiser, Grenville",[],,[],,86425,18883065,13027190,"The World's Great Sermons, Volume 01 Basil to Calvin","The World's Great Sermons, Volume 01 Basil to Calvin",Grenville Kleiser,,"['world', 'great', 'sermons', 'volume', 'one', 'basil', 'calvin']","['world', 'great', 'sermons', 'volume', 'one', 'basil', 'calvin']",[18883065],[11981]
11982,Eighty Years and More; Reminiscences 1815-1897,en,12491,"Stanton, Elizabeth Cady","['Cady, Elizabeth', 'Stanton, Lizzie', 'Stanton, E. Cady (Elizabeth Cady)']",1591020093,[],,120585,525145,513007,"Eighty Years and More: Reminiscences, 1815-1897","Eighty Years and More: Reminiscences, 1815-1897",Elizabeth Cady Stanton,,"['eighty', 'years', 'reminiscences', 'one thousand, eight hundred and fifteen', 'one thousand, eight hundred and ninety-seven']","['eighty', 'years', 'reminiscences', 'one thousand, eight hundred and fifteen', 'one thousand, eight hundred and ninety-seven']",[525145],[11982]
11986,The Book of American Negro Poetry,en,6490,"Johnson, James Weldon","['Johnson, J. W. (James Weldon)']",,[],,29617,11184888,1761165,The Book of American Negro Poetry,The Book of American Negro Poetry,James Weldon Johnson,The Book of American Negro Poetry,"['book', 'american', 'negro', 'poetry']","['book', 'american', 'negro', 'poetry']","[11184888, 11054378, 183840]",[11986]
11988,The Human Chord,en,1139,"Blackwood, Algernon",[],,[],,38840,6149872,6329020,The Human Chord,The Human Chord,Algernon Blackwood,The Human Chord,"['human', 'chord']","['human', 'chord']","[6149872, 6149884]",[11988]
12021,Adopting an Abandoned Farm,en,5054,"Sanborn, Kate","['Sanborn, Katherine Abbott']",1406542989,[],,15034,3121039,3152382,Adopting an Abandoned Farm,Adopting an Abandoned Farm,Kate Sanborn,Adopting an Abandoned Farm,"['adopting', 'abandoned', 'farm']","['adopting', 'abandoned', 'farm']",[3121039],[12021]
12027,Crime: Its Cause and Treatment,en,367,"Darrow, Clarence","['Darrow, Clarence Seward']",1406818313,[],,31156,2304875,2311287,Crime: Its Cause and Treatment,Crime: Its Cause and Treatment,Clarence Darrow,,"['crime', 'cause', 'treatment']","['crime', 'cause', 'treatment']","[9597195, 2304875]",[12027]
12034,"Knights of Malta, 1523-1798",en,23761,"Cohen, Reuben","['Cohen, R.']",1406513474,[],eng,2864906,9721239,6987949,"Knights of Malta, 1523-1798","Knights of Malta, 1523-1798",R. Cohen,,"['knights', 'malta', 'one thousand, five hundred and twenty-three', 'one thousand, seven hundred and ninety-eight']","['knights', 'malta', 'one thousand, five hundred and twenty-three', 'one thousand, seven hundred and ninety-eight']",[9721239],[12034]
12041,The Shadow of the Cathedral,en,139,"Blasco Ibáñez, Vicente","['Ibáñez, Vicente Blasco', 'Blasco Ibanez, Vicente']",,[],eng,35509,7914053,11199808,The Shadow of the Cathedral,The Shadow of the Cathedral,Vicente Blasco Ibanez,La Catedral,"['shadow', 'cathedral']","['shadow', 'cathedral']",[7914053],[12041]
12051,Dick Sand: A Captain at Fifteen,en,659,"Verne, Jules","['Verne, Jules Gabriel', 'Verne, Jules Gabriël', 'Verne, Júlio']",,['1086620'],,696805,22054788,230247,Dick Sand A Captain at Fifteen,Dick Sand A Captain at Fifteen,Jules Verne,Un capitaine de quinze ans,"['dick', 'sand', 'captain', 'fifteen']","['dick', 'sand', 'captain', 'fifteen']",[22054788],[12051]
